# Rust crates linked into libtokenizers inside ai.djl.huggingface:tokenizers:0.38.0
# Generated by tools/third-party/refresh-tokenizers-crates.py from DJL v0.38.0's
# extensions/tokenizers/rust/Cargo.lock (normal deps, targets: x86_64-unknown-linux-gnu, aarch64-unknown-linux-gnu, aarch64-apple-darwin, x86_64-pc-windows-gnu).
# Columns: crate, version, licence (Cargo.toml), origin, licence text ids in third-party/texts
# ('-' = the crate ships no licence file; the generator uses the canonical SPDX text).
adler2	2.0.1	0BSD OR MIT OR Apache-2.0	crates.io	861399f8c21c042b,8ada45cd9f843acf,23f18e03dc49df91
windows-targets	0.52.6	MIT OR Apache-2.0	crates.io	c16f8dcf1a368b83,c2cfccb812fe4821
windows-targets	0.53.3	MIT OR Apache-2.0	crates.io	c16f8dcf1a368b83,c2cfccb812fe4821
windows_x86_64_gnu	0.42.2	MIT OR Apache-2.0	crates.io	c16f8dcf1a368b83,c2cfccb812fe4821
windows_x86_64_gnu	0.52.6	MIT OR Apache-2.0	crates.io	c16f8dcf1a368b83,c2cfccb812fe4821
windows_x86_64_gnu	0.53.0	MIT OR Apache-2.0	crates.io	c16f8dcf1a368b83,c2cfccb812fe4821
winnow	0.7.12	MIT	crates.io	cb5aedb296c5246d
writeable	0.6.1	Unicode-3.0	crates.io	f367c1b8e1aa2624
yoke	0.7.5	Unicode-3.0	crates.io	f367c1b8e1aa2624
yoke	0.8.0	Unicode-3.0	crates.io	f367c1b8e1aa2624
yoke-derive	0.7.5	Unicode-3.0	crates.io	f367c1b8e1aa2624
yoke-derive	0.8.0	Unicode-3.0	crates.io	f367c1b8e1aa2624
zerocopy	0.8.26	BSD-2-Clause OR Apache-2.0 OR MIT	crates.io	1520f0253bb05bbf,83c1763356e822ad,24fa231567ace7e0
zerofrom	0.1.6	Unicode-3.0	crates.io	f367c1b8e1aa2624
zerofrom-derive	0.1.6	Unicode-3.0	crates.io	f367c1b8e1aa2624
zeroize	1.8.1	Apache-2.0 OR MIT	crates.io	cfc7749b96f63bd3,0b04ee3ce0021a92
zerotrie	0.2.2	Unicode-3.0	crates.io	f367c1b8e1aa2624
zerovec	0.11.2	Unicode-3.0	crates.io	f367c1b8e1aa2624
zerovec-derive	0.11.1	Unicode-3.0	crates.io	f367c1b8e1aa2624
zip	1.1.4	MIT	crates.io	58545fed1565e42d
